Date,Description,Credit,Debit
2014-04-06,Check #1077,,$60.00
2014-04-06,Check #1078,,$120.00
2014-04-06,Check #1079,,$74.00
2014-04-06,Check #1080,,$82.00
2014-04-13,Check #1081,,$60.00
2014-04-13,Check #1082,,$120.00
2014-04-13,Check #1083,,$74.00
2014-04-13,Check #1084,,$82.00
2014-04-20,Check #1085,,$60.00
2014-04-20,Check #1086,,$120.00
2014-04-20,Check #1087,,$74.00
2014-04-20,Check #1088,,$82.00
2014-04-27,Check #1089,,$60.00
2014-04-27,Check #1090,,$120.00
2014-04-27,Check #1091,,$74.00
2014-04-27,Check #1092,,$82.00
2014-04-30,Deposit ATM,"$3,000.00",
