Date,Description,Credit,Debit
2014-02-02,Check #1041,,$60.00
2014-02-02,Check #1042,,$120.00
2014-02-02,Check #1043,,$74.00
2014-02-02,Check #1044,,$82.00
2014-02-09,Check #1045,,$60.00
2014-02-09,Check #1046,,$120.00
2014-02-09,Check #1047,,$74.00
2014-02-09,Check #1048,,$82.00
2014-02-16,Check #1049,,$60.00
2014-02-16,Check #1050,,$120.00
2014-02-16,Check #1051,,$74.00
2014-02-16,Check #1052,,$82.00
2014-02-23,Check #1053,,$60.00
2014-02-23,Check #1054,,$120.00
2014-02-23,Check #1055,,$74.00
2014-02-23,Check #1056,,$82.00
2014-02-28,Deposit Online,"$2,800.00",
2014-02-14,Payment CC,,$487.79
