Date,Description,Credit,Debit
2014-01-05,Check #1025,,$60.00
2014-01-05,Check #1026,,$120.00
2014-01-05,Check #1027,,$74.00
2014-01-05,Check #1028,,$82.00
2014-01-12,Check #1029,,$60.00
2014-01-12,Check #1030,,$120.00
2014-01-12,Check #1031,,$74.00
2014-01-12,Check #1032,,$82.00
2014-01-19,Check #1033,,$60.00
2014-01-19,Check #1034,,$120.00
2014-01-19,Check #1035,,$74.00
2014-01-19,Check #1036,,$82.00
2014-01-26,Check #1037,,$60.00
2014-01-26,Check #1038,,$120.00
2014-01-26,Check #1039,,$74.00
2014-01-26,Check #1040,,$82.00
2014-01-31,Deposit Bank,"$3,100.00",
