Date,Description,Credit,Debit
2014-06-01,Check #1109,,$60.00
2014-06-01,Check #1110,,$120.00
2014-06-01,Check #1111,,$74.00
2014-06-01,Check #1112,,$82.00
2014-06-08,Check #1113,,$60.00
2014-06-08,Check #1114,,$120.00
2014-06-08,Check #1115,,$74.00
2014-06-08,Check #1116,,$82.00
2014-06-15,Check #1117,,$60.00
2014-06-15,Check #1118,,$120.00
2014-06-15,Check #1119,,$74.00
2014-06-15,Check #1120,,$82.00
2014-06-22,Check #1121,,$60.00
2014-06-22,Check #1122,,$120.00
2014-06-22,Check #1123,,$74.00
2014-06-22,Check #1124,,$82.00
2014-06-29,Check #1125,,$60.00
2014-06-29,Check #1126,,$120.00
2014-06-29,Check #1127,,$74.00
2014-06-29,Check #1128,,$82.00
2014-06-30,Deposit Bank,"$3,000.00",
2014-06-23,Payment CC,,$518.62
