Date,Description,Credit,Debit
2014-05-04,Check #1093,,$60.00
2014-05-04,Check #1094,,$120.00
2014-05-04,Check #1095,,$74.00
2014-05-04,Check #1096,,$82.00
2014-05-11,Check #1097,,$60.00
2014-05-11,Check #1098,,$120.00
2014-05-11,Check #1099,,$74.00
2014-05-11,Check #1100,,$82.00
2014-05-18,Check #1101,,$60.00
2014-05-18,Check #1102,,$120.00
2014-05-18,Check #1103,,$74.00
2014-05-18,Check #1104,,$82.00
2014-05-25,Check #1105,,$60.00
2014-05-25,Check #1106,,$120.00
2014-05-25,Check #1107,,$74.00
2014-05-25,Check #1108,,$82.00
2014-05-31,Deposit Bank,"$3,100.00",
2014-05-04,Payment CC,,$716.90
