Description,Amount,Date
2014-04-01,Sleek Cotton Shirt,$94.79
2014-04-01,Gorgeous Cotton Chair,$8.82
2014-04-03,Fantastic Concrete Shirt,$45.81
2014-04-03,Sleek Steel Table,$8.91
2014-04-04,Practical Steel Chair,$35.86
2014-04-04,Ergonomic Concrete Hat,$9.83
2014-04-05,Practical Concrete Computer,$55.65
2014-04-05,Sleek Rubber Pants,$40.18
2014-04-06,Awesome Steel Shirt,$59.34
2014-04-06,Practical Concrete Shoes,$25.53
2014-04-07,Intelligent Rubber Shirt,$0.88
2014-04-08,Awesome Plastic Shoes,$27.24
2014-04-09,Ergonomic Wooden Computer,$10.09
2014-04-09,Practical Concrete Chair,$33.15
2014-04-10,Fantastic Steel Shirt,$62.67
2014-04-11,Small Rubber Table,$3.85
2014-04-12,Awesome Granite Hat,$60.85
2014-04-13,Small Steel Car,$42.68
2014-04-14,Small Rubber Shoes,$61.00
2014-04-14,Incredible Granite Chair,$85.53
2014-04-15,Ergonomic Granite Computer,$70.92
2014-04-15,Fantastic Wooden Pants,$91.57
2014-04-18,Rustic Wooden Shoes,$62.74
2014-04-18,Gorgeous Granite Shoes,$4.50
2014-04-19,Practical Concrete Computer,$3.71
2014-04-20,Small Wooden Computer,$13.90
2014-04-21,Small Granite Table,$18.94
2014-04-23,Awesome Steel Shoes,$39.51
2014-04-24,Fantastic Concrete Table,$97.51
2014-04-25,Small Plastic Computer,$59.21
2014-04-25,Small Plastic Shoes,$14.90
2014-04-28,Fantastic Concrete Table,$49.49
2014-04-29,Awesome Cotton Shoes,$18.75
2014-04-29,Practical Rubber Gloves,$18.59
2014-04-30,Awesome Plastic Computer,$26.72
