Description,Amount,Date
2014-02-01,Small Wooden Table,$34.81
2014-02-02,Intelligent Steel Table,$37.14
2014-02-04,Gorgeous Concrete Gloves,$16.33
2014-02-05,Fantastic Concrete Pants,$64.41
2014-02-06,Rustic Cotton Chair,$64.59
2014-02-06,Sleek Rubber Computer,$92.74
2014-02-08,Ergonomic Cotton Gloves,$97.21
2014-02-09,Fantastic Cotton Gloves,$40.95
2014-02-09,Intelligent Granite Table,$25.81
2014-02-10,Small Plastic Shoes,$90.36
2014-02-11,Rustic Rubber Pants,$79.71
2014-02-12,Intelligent Steel Shoes,$53.65
2014-02-12,Rustic Cotton Table,$3.87
2014-02-15,Small Steel Car,$4.89
2014-02-15,Fantastic Steel Computer,$58.38
2014-02-18,Ergonomic Steel Table,$69.16
2014-02-19,Rustic Rubber Shoes,$34.72
2014-02-19,Gorgeous Cotton Table,$95.60
2014-02-20,Rustic Wooden Table,$74.03
2014-02-21,Rustic Plastic Chair,$85.83
2014-02-21,Ergonomic Rubber Gloves,$83.28
2014-02-24,Sleek Granite Gloves,$11.96
2014-02-24,Incredible Plastic Computer,$48.55
2014-02-26,Rustic Concrete Car,$55.80
2014-02-28,Awesome Cotton Hat,$51.39
2014-02-28,Practical Rubber Car,$50.04
2014-02-14,Payment Thank You,$-487.79
