Description,Amount,Date
2014-01-02,Ergonomic Granite Car,$39.73
2014-01-02,Awesome Wooden Computer,$78.03
2014-01-03,Incredible Wooden Shirt,$80.90
2014-01-06,Small Wooden Hat,$56.75
2014-01-06,Small Steel Chair,$96.43
2014-01-07,Incredible Granite Shirt,$12.18
2014-01-11,Practical Wooden Chair,$99.33
2014-01-11,Incredible Cotton Pants,$28.16
2014-01-12,Fantastic Granite Pants,$66.52
2014-01-12,Incredible Plastic Chair,$87.10
2014-01-13,Ergonomic Plastic Chair,$8.22
2014-01-13,Incredible Steel Hat,$3.06
2014-01-16,Practical Rubber Gloves,$50.17
2014-01-17,Rustic Steel Shirt,$31.19
2014-01-19,Practical Steel Car,$30.91
2014-01-20,Awesome Granite Hat,$63.33
2014-01-22,Incredible Granite Hat,$2.81
2014-01-22,Fantastic Wooden Table,$55.60
2014-01-23,Small Steel Hat,$96.16
2014-01-24,Awesome Concrete Car,$21.79
2014-01-24,Fantastic Concrete Pants,$50.24
2014-01-25,Intelligent Rubber Gloves,$52.86
2014-01-26,Intelligent Steel Gloves,$37.50
2014-01-28,Small Plastic Pants,$21.16
2014-01-30,Rustic Cotton Computer,$60.34
2014-01-31,Sleek Rubber Shirt,$57.39
2014-01-31,Awesome Cotton Shirt,$93.20
